epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,3215.57,1.45725,0.97154,0.92099,0.7771,0.65591,0.71455,0.51559,1.42139,0.91219,0.92802,0.00024649,0.00024649,0.00024649
90,3250.57,1.45805,0.97795,0.9175,0.78978,0.66069,0.72048,0.51982,1.41949,0.9127,0.92678,0.000242609,0.000242609,0.000242609
91,3286,1.45165,0.96048,0.92158,0.74411,0.67814,0.71297,0.51921,1.42289,0.90998,0.92881,0.000238728,0.000238728,0.000238728
92,3322.25,1.46118,0.97484,0.92007,0.78448,0.64434,0.70946,0.51915,1.41962,0.91055,0.92904,0.000234847,0.000234847,0.000234847
93,3357.86,1.46192,0.97405,0.92037,0.73089,0.66843,0.71041,0.51746,1.42437,0.90354,0.92999,0.000230966,0.000230966,0.000230966
94,3392.77,1.44193,0.96163,0.9131,0.76254,0.64777,0.70816,0.52131,1.40487,0.9017,0.92575,0.000227086,0.000227086,0.000227086
95,3428.21,1.45616,0.9648,0.91883,0.78841,0.65856,0.72215,0.52988,1.40314,0.89215,0.92442,0.000223205,0.000223205,0.000223205
96,3464.07,1.43965,0.94994,0.91724,0.79512,0.66694,0.72841,0.53303,1.408,0.89999,0.92463,0.000219324,0.000219324,0.000219324
97,3500.27,1.4667,0.96309,0.9176,0.80116,0.66889,0.73114,0.53994,1.39623,0.88036,0.9241,0.000215443,0.000215443,0.000215443
98,3535.35,1.42693,0.94551,0.91609,0.80029,0.65823,0.72861,0.52865,1.42087,0.88557,0.92771,0.000211562,0.000211562,0.000211562
99,3570.37,1.40914,0.9386,0.91353,0.78713,0.66563,0.72877,0.53104,1.39905,0.88105,0.92474,0.000207682,0.000207682,0.000207682
100,3606.13,1.43867,0.93933,0.91795,0.82076,0.66281,0.73231,0.53684,1.3915,0.88037,0.92352,0.000203801,0.000203801,0.000203801
101,3641.53,1.41498,0.92909,0.91188,0.83161,0.66229,0.73324,0.53351,1.41959,0.87751,0.9283,0.00019992,0.00019992,0.00019992
102,3676.46,1.4315,0.92759,0.91133,0.79266,0.67369,0.73419,0.54182,1.38273,0.87267,0.92018,0.000196039,0.000196039,0.000196039
103,3712.27,1.40552,0.92204,0.9077,0.83518,0.65361,0.74017,0.54208,1.38554,0.87504,0.92285,0.000192158,0.000192158,0.000192158
104,3748.38,1.42859,0.93441,0.91331,0.80569,0.67732,0.74032,0.54836,1.38064,0.87083,0.92055,0.000188278,0.000188278,0.000188278
105,3783.87,1.40554,0.92149,0.90844,0.79526,0.68341,0.74434,0.54095,1.40018,0.87146,0.92263,0.000184397,0.000184397,0.000184397
106,3819.26,1.40322,0.92052,0.90655,0.78379,0.67421,0.73794,0.54505,1.38568,0.87133,0.92301,0.000180516,0.000180516,0.000180516
107,3855.06,1.43838,0.93972,0.91595,0.80894,0.67599,0.74089,0.54948,1.37663,0.86411,0.92074,0.000176635,0.000176635,0.000176635
108,3891.5,1.43211,0.93328,0.90885,0.83922,0.67136,0.73831,0.54488,1.38523,0.86333,0.92012,0.000172754,0.000172754,0.000172754
109,3926.81,1.42723,0.939,0.91379,0.82155,0.67569,0.73971,0.54371,1.38966,0.86885,0.92311,0.000168874,0.000168874,0.000168874
110,3962.38,1.4321,0.92877,0.9105,0.83996,0.67289,0.74399,0.54084,1.39441,0.85516,0.92186,0.000164993,0.000164993,0.000164993
111,3998.23,1.43592,0.92987,0.91599,0.82282,0.67162,0.74229,0.54706,1.38401,0.85102,0.91991,0.000161112,0.000161112,0.000161112
112,4034.06,1.42855,0.92226,0.91415,0.82899,0.67826,0.74572,0.54426,1.38051,0.85038,0.92019,0.000157231,0.000157231,0.000157231
113,4068.9,1.41636,0.91978,0.91537,0.83738,0.67285,0.74581,0.55472,1.36858,0.84581,0.91789,0.00015335,0.00015335,0.00015335
114,4104.49,1.41025,0.91717,0.91097,0.83871,0.66842,0.74885,0.55682,1.37133,0.84957,0.9176,0.00014947,0.00014947,0.00014947
115,4140.99,1.4136,0.91293,0.90917,0.82788,0.67496,0.74736,0.55192,1.37827,0.84764,0.91948,0.000145589,0.000145589,0.000145589
116,4177.27,1.4117,0.91803,0.91092,0.82955,0.67811,0.74471,0.54246,1.38681,0.84982,0.92166,0.000141708,0.000141708,0.000141708
117,4213.52,1.43505,0.92378,0.91338,0.83019,0.6768,0.7456,0.55107,1.36809,0.85159,0.91931,0.000137827,0.000137827,0.000137827
118,4248.43,1.37957,0.89201,0.90732,0.816,0.68719,0.74935,0.55208,1.37364,0.84442,0.92003,0.000133946,0.000133946,0.000133946
119,4284.39,1.40042,0.89922,0.90603,0.81093,0.68863,0.74469,0.5444,1.38594,0.84516,0.9205,0.000130066,0.000130066,0.000130066
120,4320,1.42667,0.91828,0.91175,0.83312,0.68484,0.74739,0.54969,1.37078,0.83951,0.91777,0.000126185,0.000126185,0.000126185
121,4355.51,1.37974,0.89153,0.90318,0.84168,0.68812,0.75815,0.55913,1.36191,0.83853,0.91634,0.000122304,0.000122304,0.000122304
122,4390.66,1.38714,0.89353,0.90429,0.85688,0.6763,0.75305,0.55968,1.36202,0.83446,0.91478,0.000118423,0.000118423,0.000118423
123,4427.08,1.39506,0.90384,0.906,0.85153,0.67233,0.74949,0.55453,1.36715,0.83708,0.91712,0.000114542,0.000114542,0.000114542
124,4462.85,1.37562,0.88872,0.90574,0.83005,0.68789,0.7533,0.56095,1.36127,0.83089,0.91507,0.000110662,0.000110662,0.000110662
125,4498.81,1.41012,0.9147,0.90644,0.78684,0.69429,0.75209,0.5582,1.35633,0.83259,0.91321,0.000106781,0.000106781,0.000106781
126,4534.44,1.39369,0.8986,0.90443,0.82609,0.68868,0.75286,0.56141,1.35315,0.82871,0.91448,0.0001029,0.0001029,0.0001029
127,4570.5,1.37907,0.88367,0.90175,0.81813,0.69251,0.7539,0.55766,1.35537,0.83304,0.91401,9.90192e-05,9.90192e-05,9.90192e-05
128,4606.39,1.39097,0.89145,0.90645,0.82279,0.68764,0.74875,0.55654,1.36046,0.83121,0.91361,9.51384e-05,9.51384e-05,9.51384e-05
129,4641.72,1.38234,0.88654,0.90343,0.80842,0.68911,0.7485,0.55605,1.35217,0.8387,0.91406,9.12576e-05,9.12576e-05,9.12576e-05
130,4677.04,1.38387,0.88309,0.90291,0.82476,0.69597,0.75741,0.56054,1.35486,0.82469,0.91405,8.73768e-05,8.73768e-05,8.73768e-05
131,4712.56,1.35959,0.87142,0.90018,0.82276,0.69051,0.75736,0.55719,1.35826,0.83025,0.91446,8.3496e-05,8.3496e-05,8.3496e-05
132,4747.99,1.39785,0.89207,0.90161,0.8138,0.69884,0.75677,0.56364,1.35323,0.82607,0.91364,7.96152e-05,7.96152e-05,7.96152e-05
133,4783.42,1.38943,0.88179,0.90251,0.81412,0.69602,0.7563,0.56172,1.35271,0.82139,0.9129,7.57344e-05,7.57344e-05,7.57344e-05
134,4819.07,1.36509,0.87342,0.90197,0.81499,0.69731,0.76065,0.56568,1.35473,0.81741,0.91279,7.18536e-05,7.18536e-05,7.18536e-05
135,4855.3,1.36696,0.87537,0.89639,0.82815,0.69718,0.75937,0.56265,1.35233,0.81658,0.91247,6.79728e-05,6.79728e-05,6.79728e-05
136,4891.02,1.36248,0.87498,0.90188,0.85662,0.68014,0.75827,0.56566,1.34772,0.8227,0.91168,6.4092e-05,6.4092e-05,6.4092e-05
137,4926,1.37059,0.8806,0.90373,0.86877,0.68243,0.75726,0.56667,1.34553,0.81555,0.91139,6.02112e-05,6.02112e-05,6.02112e-05
138,4962.12,1.37282,0.86945,0.90175,0.85293,0.68607,0.7614,0.56858,1.34171,0.81335,0.91151,5.63304e-05,5.63304e-05,5.63304e-05
139,4997.66,1.35362,0.86291,0.89682,0.83009,0.69359,0.75988,0.572,1.33569,0.81473,0.90973,5.24496e-05,5.24496e-05,5.24496e-05
140,5033.13,1.33904,0.85246,0.90087,0.82447,0.69669,0.75955,0.56974,1.34024,0.81004,0.9104,4.85688e-05,4.85688e-05,4.85688e-05
141,5069.55,1.36704,0.88868,0.90337,0.81172,0.68471,0.74868,0.55344,1.36062,0.84044,0.91517,4.4688e-05,4.4688e-05,4.4688e-05
142,5102.67,1.38004,0.89677,0.90216,0.80272,0.67954,0.74015,0.54725,1.36542,0.8544,0.91604,4.08072e-05,4.08072e-05,4.08072e-05
143,5135.54,1.35443,0.86857,0.89955,0.84102,0.6748,0.75041,0.55502,1.36014,0.84383,0.91551,3.69264e-05,3.69264e-05,3.69264e-05
144,5168.19,1.34929,0.86074,0.89536,0.83298,0.6806,0.75254,0.55805,1.35386,0.83102,0.91406,3.30456e-05,3.30456e-05,3.30456e-05
145,5200.2,1.33968,0.85641,0.89663,0.83762,0.67785,0.75241,0.55812,1.35664,0.83508,0.91382,2.91648e-05,2.91648e-05,2.91648e-05
146,5232.54,1.36237,0.86679,0.89781,0.82195,0.68025,0.75304,0.55827,1.34974,0.83259,0.91273,2.5284e-05,2.5284e-05,2.5284e-05
147,5264.22,1.3407,0.84629,0.89614,0.82111,0.68028,0.75665,0.56216,1.34382,0.82749,0.91186,2.14032e-05,2.14032e-05,2.14032e-05
148,5297.91,1.35474,0.85925,0.89829,0.82379,0.68162,0.75471,0.56205,1.34507,0.82688,0.9122,1.75224e-05,1.75224e-05,1.75224e-05
149,5329.52,1.33493,0.84798,0.89506,0.83445,0.67885,0.75652,0.56174,1.34446,0.82895,0.9125,1.36416e-05,1.36416e-05,1.36416e-05
150,5362.43,1.33328,0.84157,0.89615,0.82918,0.68229,0.76042,0.56605,1.34334,0.82435,0.91176,9.7608e-06,9.7608e-06,9.7608e-06
